Sigla,Codigo,Municipio,Numero de suicidios,Numero de suicidios do sexo feminino,Numero de suicidios de jovens de 15 a 29 anos,Numero de suicidios do sexo masculino,Taxa de suicidios(100.000 Habitantes),Taxa de suicidios do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens de 15 a 29 anos do sexo feminino(100.000 Habitantes) ,Taxa de suicidios de jovens(100.000 Habitantes),Taxa de suicidios do sexo masculino(100.000 Habitantes),Taxa de suicidios de jovens de 15 a 29 anos do sexo masculino(100.000 Habitantes),ano,IDHM (2000),IDHM (2010),IDHM Renda (2010),IDHM Longevidade (2010),IDHM Educacao (2010)
BA,2905909,Campo Alegre de Lourdes,,,,,,,,,,,2001,365,557,516,778,430
BA,2906006,Campo Formoso,,,,,,,,,,,2001,421,586,566,749,475
BA,2906105,Canápolis,,,,,,,,,,,2001,435,565,531,732,463
BA,2906204,Canarana,,,,,,,,,,,2001,421,587,555,734,496
BA,2906303,Canavieiras,1,,1,1,2.82,,,9.77,5.56,19.12,2001,439,590,596,796,434
BA,2906402,Candeal,,,,,,,,,,,2001,453,587,554,787,465
BA,2906501,Candeias,,,,,,,,,,,2001,548,691,652,823,616
BA,2906600,Candiba,,,,,,,,,,,2001,463,591,578,743,481
BA,2906709,Cândido Sales,1,1,,,3.45,6.95,,,,,2001,423,601,565,798,482
BA,2906808,Cansanção,1,,1,1,3.11,,,11.57,6.20,22.45,2001,349,557,530,745,438
BA,2906824,Canudos,,,,,,,,,,,2001,379,562,554,707,453
BA,2906857,Capela do Alto Alegre,,,,,,,,,,,2001,456,599,582,770,480
BA,2906873,Capim Grosso,,,,,,,,,,,2001,444,621,620,752,514
BA,2906899,Caraíbas,,,,,,,,,,,2001,322,555,570,739,405
BA,2906907,Caravelas,,,,,,,,,,,2001,473,616,626,791,473
BA,2907004,Cardeal da Silva,1,1,,,12.14,24.62,,,,,2001,382,552,523,735,437
BA,2907103,Carinhanha,,,,,,,,,,,2001,382,576,525,763,477
BA,2907202,Casa Nova,1,,1,1,1.76,,,6.10,3.45,11.66,2001,373,570,577,736,435
BA,2907301,Castro Alves,,,,,,,,,,,2001,451,613,591,774,504
BA,2907400,Catolândia,,,,,,,,,,,2001,426,582,554,786,452
BA,2907509,Catu,,,,,,,,,,,2001,536,677,660,814,578
BA,2907558,Caturama,,,,,,,,,,,2001,394,571,543,770,446
BA,2907608,Central,,,,,,,,,,,2001,453,596,540,728,538
BA,2907707,Chorrochó,1,,,1,9.76,,,,19.48,,2001,426,600,552,779,503
BA,2907806,Cícero Dantas,1,,,1,3.19,,,,6.48,,2001,417,585,590,712,477
BA,2907905,Cipó,,,,,,,,,,,2001,444,601,589,744,496
BA,2908002,Coaraci,1,,,1,3.56,,,,7.18,,2001,433,613,615,762,491
BA,2908101,Cocos,,,,,,,,,,,2001,413,596,558,805,471
BA,2908200,Conceição da Feira,,,,,,,,,,,2001,496,634,606,766,548
BA,2908309,Conceição do Almeida,1,,,1,5.29,,,,10.77,,2001,482,606,578,805,479
BA,2908408,Conceição do Coité,1,1,,,1.76,3.53,,,,,2001,446,611,587,752,517
BA,2908507,Conceição do Jacuípe,1,,,1,3.76,,,,7.67,,2001,531,663,630,799,579
BA,2908606,Conde,,,,,,,,,,,2001,398,560,551,705,451
BA,2908705,Condeúba,,,,,,,,,,,2001,419,582,559,789,447
BA,2908804,Contendas do Sincorá,,,,,,,,,,,2001,417,577,579,695,477
BA,2908903,Coração de Maria,1,,,1,4.16,,,,8.39,,2001,434,592,558,762,489
BA,2909000,Cordeiros,,,,,,,,,,,2001,386,579,561,763,454
BA,2909109,Coribe,,,,,,,,,,,2001,397,600,545,807,491
BA,2909208,Coronel João Sá,,,,,,,,,,,2001,328,535,545,716,392
